date,year,month_num,month,inflation_type,source_type,value
1994-07-01,1994,7,июль,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,105.0
1994-07-01,1994,7,июль,services,Индексы потребительских цен на услуги по Российской Федерации,113.3
1994-07-01,1994,7,июль,total,Индексы потребительских цен на товары и услуги по Российской Федерации,105.33
1994-08-01,1994,8,август,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,102.69
1994-08-01,1994,8,август,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,105.6
1994-08-01,1994,8,август,services,Индексы потребительских цен на услуги по Российской Федерации,109.92
1994-08-01,1994,8,август,total,Индексы потребительских цен на товары и услуги по Российской Федерации,104.62
1994-09-01,1994,9,сентябрь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,106.9
1994-09-01,1994,9,сентябрь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,107.4
1994-09-01,1994,9,сентябрь,services,Индексы потребительских цен на услуги по Российской Федерации,113.4
1994-09-01,1994,9,сентябрь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,107.96
1994-10-01,1994,10,октябрь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,115.3
1994-10-01,1994,10,октябрь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,116.4
1994-10-01,1994,10,октябрь,services,Индексы потребительских цен на услуги по Российской Федерации,110.52
1994-10-01,1994,10,октябрь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,115.0
1994-11-01,1994,11,ноябрь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,117.28
1994-11-01,1994,11,ноябрь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,112.5
1994-11-01,1994,11,ноябрь,services,Индексы потребительских цен на услуги по Российской Федерации,110.5
1994-11-01,1994,11,ноябрь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,114.61
1994-12-01,1994,12,декабрь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,120.9
1994-12-01,1994,12,декабрь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,111.9
1994-12-01,1994,12,декабрь,services,Индексы потребительских цен на услуги по Российской Федерации,111.5
1994-12-01,1994,12,декабрь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,116.44
1995-01-01,1995,1,январь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,121.05
1995-01-01,1995,1,январь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,111.97
1995-01-01,1995,1,январь,services,Индексы потребительских цен на услуги по Российской Федерации,122.68
1995-01-01,1995,1,январь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,117.77
1995-02-01,1995,2,февраль,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,110.27
1995-02-01,1995,2,февраль,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,109.79
1995-02-01,1995,2,февраль,services,Индексы потребительских цен на услуги по Российской Федерации,119.34
1995-02-01,1995,2,февраль,total,Индексы потребительских цен на товары и услуги по Российской Федерации,111.02
1995-03-01,1995,3,март,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,108.46
1995-03-01,1995,3,март,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,109.17
1995-03-01,1995,3,март,services,Индексы потребительских цен на услуги по Российской Федерации,110.48
1995-03-01,1995,3,март,total,Индексы потребительских цен на товары и услуги по Российской Федерации,108.94
1995-04-01,1995,4,апрель,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,107.52
1995-04-01,1995,4,апрель,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,108.72
1995-04-01,1995,4,апрель,services,Индексы потребительских цен на услуги по Российской Федерации,112.22
1995-04-01,1995,4,апрель,total,Индексы потребительских цен на товары и услуги по Российской Федерации,108.47
1995-05-01,1995,5,май,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,108.83
1995-05-01,1995,5,май,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,105.56
1995-05-01,1995,5,май,services,Индексы потребительских цен на услуги по Российской Федерации,111.15
1995-05-01,1995,5,май,total,Индексы потребительских цен на товары и услуги по Российской Федерации,107.93
